classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,3514.270214050077,-12333899.199951965,4636597.160454894,1404.0297135848807,0.08007934691386283,1,1,216
Ground,Point Cloud,3514.5910620340146,-12333899.301387483,4636597.571027232,1403.999121920777,0.07641718165865569,1,1,216
Ground,Point Cloud,3514.9207251123153,-12333899.3899423,4636597.992870178,1403.9798008697644,0.07226672770275426,1,1,216
Ground,Point Cloud,3515.2415792657994,-12333899.478497118,4636598.403442512,1403.958869731167,0.06982528419928283,1,1,216
Ground,Point Cloud,3513.0104073812254,-12333899.472056767,4636595.548757223,1404.0586951614,0.0788586251621271,1,1,216
Ground,Point Cloud,3512.6895532272756,-12333899.38350195,4636595.138184888,1404.0699657744908,0.08618295567254139,1,1,216
Ground,Point Cloud,3512.3699574917555,-12333899.294947132,4636594.729222642,1404.0892868255037,0.07617303730830854,1,1,216
Ground,Point Cloud,3512.0289748222567,-12333899.193511615,4636594.29288891,1404.0989473510099,0.07568474860761425,1,1,216
Ground,Point Cloud,3511.709378315136,-12333899.106566885,4636593.883926661,1404.1086078765163,0.0844739452201114,1,1,216
Ground,Point Cloud,3511.408659619745,-12333899.016401982,4636593.499115728,1404.1198784896073,0.09057755397878996,1,1,216
Unclassified,Point Cloud,3509.1372368703596,-12333898.971319528,4636590.59290764,1404.2084333067492,0.09057755397878996,1,1,216
Ground,Point Cloud,3509.4379555657506,-12333899.061484434,4636590.977718569,1404.17945173023,0.09130998702983138,1,1,216
Ground,Point Cloud,3509.747484728694,-12333899.148429163,4636591.3738001175,1404.1488600661264,0.08520637827115282,1,1,216
Ground,Point Cloud,3510.058270767797,-12333899.238594068,4636591.77149175,1404.13919954062,0.07983520256351567,1,1,216
Ground,Point Cloud,3510.3778672735207,-12333899.325538797,4636592.180453997,1404.1295390151136,0.08422980086976425,1,1,216
Ground,Point Cloud,3510.7087887711823,-12333899.414093614,4636592.603907032,1404.1198784896073,0.08252079041733425,1,1,216
Ground,Point Cloud,3508.0674212304875,-12333899.306217745,4636589.224333191,1404.1295390151136,0.07983520256351567,1,1,216
Ground,Point Cloud,3507.7075615199283,-12333899.206392316,4636588.763848142,1404.1295390151136,0.08862439917601282,1,1,216
Ground,Point Cloud,3507.336376819294,-12333899.104956798,4636588.288872304,1404.1295390151136,0.08960097657740139,1,1,216
