subsets,resolution,astar,total,num_points,cost,path_length
3200.000000,4400.000000,186.997231,186.997359,11161732.000000,1230.816847,874.408109
3300.000000,4400.000000,192.292375,192.292473,11161732.000000,1230.816847,874.408109
3400.000000,4400.000000,196.407866,196.407970,11161732.000000,1230.816847,874.408109
3500.000000,4400.000000,203.042412,203.042513,11161732.000000,1230.816847,874.408109
3600.000000,4400.000000,208.419732,208.419828,11161732.000000,1237.710650,884.890185
3700.000000,4400.000000,213.429908,213.430008,11161732.000000,1237.710650,884.890185
3800.000000,4400.000000,218.657026,218.657134,11161732.000000,1237.710650,884.890185
3900.000000,4400.000000,226.107274,226.107383,11161732.000000,1237.710650,884.890185
4000.000000,4400.000000,230.526555,230.526688,11161732.000000,1237.710650,884.890185
4100.000000,4400.000000,236.065923,236.066039,11161732.000000,1237.710650,884.890185
4200.000000,4400.000000,243.809798,243.809897,11161732.000000,1237.710650,884.890185
4300.000000,4400.000000,247.307586,247.307693,11161732.000000,1237.710650,884.890185
4400.000000,4400.000000,255.078698,255.078797,11161732.000000,1237.710650,884.890185
100.000000,4000.000000,8.681613,8.681732,11161732.000000,1130.890453,867.379902
200.000000,4000.000000,14.174823,14.174950,11161732.000000,1130.890453,867.379902
300.000000,4000.000000,19.918859,19.918959,11161732.000000,1181.719807,857.317254
400.000000,4000.000000,25.614655,25.614752,11161732.000000,1181.719807,857.317254
500.000000,4000.000000,31.335353,31.335452,11161732.000000,1181.719807,857.317254
600.000000,4000.000000,37.143380,37.143487,11161732.000000,1195.130688,844.118510
700.000000,4000.000000,42.916422,42.916524,11161732.000000,1195.130688,844.118510
800.000000,4000.000000,48.488894,48.488992,11161732.000000,1195.130688,844.118510
900.000000,4000.000000,54.077207,54.077323,11161732.000000,1195.130688,844.118510
1000.000000,4000.000000,61.232453,61.232545,11161732.000000,1229.324851,902.493736
1100.000000,4000.000000,65.888641,65.888771,11161732.000000,1229.324851,902.493736
1200.000000,4000.000000,71.440308,71.440406,11161732.000000,1229.324851,902.493736
1300.000000,4000.000000,77.097802,77.097885,11161732.000000,1229.324851,902.493736
1400.000000,4000.000000,82.697114,82.697198,11161732.000000,1229.324851,902.493736
1500.000000,4000.000000,88.544111,88.544227,11161732.000000,1212.134683,888.202300
